 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
0,0.408386,0.164942,0.518763,0.491046,0.0549034,0.118598,0.478122,0.420419,0.273436,0.254539,0.282083,0.558374,0.259547,0.434027,0.36933,0.728341,0.642886,0.389829,0.47859,0.413117,0.134093,0.808628,0.23921,0.273338,0.302098,0.322787,0.0217657,0.0590041,0.238473,0.394487,0.09167,0.197095,0.383705,0.411579,0.206726,0.353693,0.264411,0.584187,0.277076,0.428751,0.125375,0.816491,0.388487,0.189117,0.220167,0.404787,0.438569,0.208317,0.0498765,0.555842,0.496429,0.583581,0.895718,0.235167,0.281588,0.543154,0.428275,0.554568,0.252545,0.336394,0.143228,0.168526,0.291781,0.207285,0.715107,0.570703,0.60678,0.493554,0.467937,0.246364,0.116098,0.174826,0.0807804,0.236498,0.285066,0.422647,0.403965,0.278288,0.934853,0.043926,0.41645,0.270032,0.269147,0.651692,0.156115,0.428734,0.234386,0.418368,0.32118,0.158148,0.242739,0.371348,0.839274,0.061782,0.405597,0.487081,0.0796705,0.400734,0.215382,0.154893,0.352075,0.199152
10,0.453479,0.198158,0.673238,0.0680031,0.527147,0.330473,0.384326,0.510424,0.449497,0.559446,0.531223,0.406046,0.600674,0.370578,0.157408,0.399703,0.327168,0.365874,0.273037,0.510841,0.0707375,0.344561,0.141374,0.315664,0.158904,0.411,0.420149,0.380437,0.182482,0.3843,0.355252,0.342974,0.355366,0.365787,0.531621,0.290768,0.612856,0.445486,0.224491,0.806495,0.76698,0.175595,0.792625,0.34874,0.158932,0.838689,0.275334,0.145097,0.63356,0.291403,0.500947,0.182686,0.281171,0.368987,0.343614,0.367469,0.345779,0.509131,0.171363,0.425137,0.867373,0.300892,0.00717239,0.656973,0.279607,0.697656,0.205439,0.181762,0.470561,0.22534,0.422448,0.536964,0.0847062,0.0697544,0.257781,0.568399,0.241691,0.343525,0.517889,0.472069,0.263217,0.491046,0.400267,0.246197,0.725758,0.46995,0.350498,0.316755,0.358072,0.284026,0.578131,0.413633,0.409091,0.5609,0.300827,0.211591,0.116233,0.393395,0.477367,0.531188,0.384668,0.1816
20,0.218778,0.288661,0.532517,0.371762,0.646589,0.533768,0.242544,0.29564,0.377983,0.394821,0.375575,0.0896959,0.321049,0.289713,0.399763,0.628976,0.162346,0.159469,0.0843012,0.139194,0.237169,0.385063,0.306103,0.430523,0.60529,0.285211,0.481493,0.427086,0.471283,0.362839,0.556223,0.173914,0.407121,0.319761,0.731926,0.162517,0.523403,0.301323,0.317858,0.346723,0.542247,0.481721,0.189514,0.0142851,0.568079,0.492709,0.316439,0.20948,0.831359,0.16323,0.0629801,0.516941,0.300856,0.594439,0.602522,0.121418,0.482406,0.451704,0.775542,0.547949,0.593962,0.441926,0.384563,0.535338,0.594084,0.183184,0.20154,0.909717,0.153583,0.366963,0.157648,0.128654,0.261409,0.33512,0.225882,0.255911,0.431314,0.245088,0.438701,0.122372,0.457822,0.623822,0.170824,0.439493,0.153381,0.754173,0.474059,0.125674,0.552872,0.399593,0.276746,0.587144,0.41426,0.571812,0.254799,0.341307,0.316984,0.371064,0.598934,0.073873,0.375774,0.186312
30,0.0904455,0.0926437,0.183847,0.127089,0.0498417,0.182078,0.0400372,0.0740597,0.306827,0.0381004,0.212624,0.175077,0.195112,0.250961,0.126512,0.0308039,0.048105,0.183415,0.15955,0.0762041,0.199689,0.287192,0.154752,0.110705,0.0946264,0.0713562,0.308197,0.154404,0.154586,0.0633837,0.368003,0.0787256,0.0562946,0.106155,0.435002,0.0769865,0.185086,0.274886,0.110986,0.0424759,0.100288,0.220368,0.0330902,0.0582382,0.0252336,0.109039,0.0140224,0.111454,0.16608,0.0828176,0.0422047,0.0473478,0.0397766,0.170239,0.171123,0.162204,0.237075,0.05851,0.229814,0.255952,0.16463,0.0577835,0.147287,0.211534,0.0785431,0.0878643,0.134336,0.0781588,0.00823555,0.0870216,0.177538,0.10514,0.106757,0.245443,0.158285,0.113011,0.0934721,0.0520149,0.0570709,0.0336472,0.0387608,0.18588,0.221733,0.245974,0.0247267,0.148401,0.146157,0.00908985,0.199007,0.0976366,0.193977,0.115494,0.187958,0.065827,0.0650022,0.031469,0.153014,0.274821,0.440758,0.0497593,0.134049,0.0896361
40,0.249926,0.013028,0.0428623,0.143935,0.066637,0.251215,0.0333332,0.12845,0.0472446,0.0199093,0.216051,0.0632095,0.242791,0.0718678,0.136634,0.0377632,0.0800999,0.0747089,0.0630653,0.108665,0.011359,0.159017,0.00802727,0.0469135,0.0227875,0.0143139,0.0242214,0.115418,0.131017,0.0674027,0.0128803,0.0512436,0.237985,0.139765,0.31678,0.0811367,0.0867905,0.150026,0.041573,0.154348,0.103505,0.0220589,0.036705,0.0216942,0.0357502,0.206118,0.0787899,0.0177216,0.21205,0.0136246,0.0340458,0.147425,0.0702366,0.0407852,0.191436,0.0572868,0.129761,0.0927597,0.131482,0.11101,0.0754791,0.00818672,0.0580555,0.0823227,0.0796425,0.0321144,0.0559467,0.133205,0.031543,0.130688,0.0232239,0.150015,0.0963905,0.107834,0.0154568,0.0544704,0.0628964,0.174651,0.0241032,0.0495831,0.166309,0.00665512,0.0735981,0.0405087,0.116537,0.192619,0.161582,0.0754746,0.0867641,0.251604,0.0573437,0.111893,0.061985,0.0406174,0.0256287,0.0035881,0.118033,0.0761841,0.00223465,0.0345867,0.088682,0.0685723
50,0.00193748,0.0800228,0.0270062,0.13354,0.231616,0.0601986,0.167299,0.0279751,0.00773201,0.0459747,0.148108,0.0591976,0.155326,0.10311,1,0.0851021,0.214694,0.066404,0.0552715,0.0368572,0.174183,0.254615,0.0541908,0.00543327,0.190924,0.11836,0.0613426,0.246907,0.0646515,0.0669731,0.0403919,0.0922649,0.087759,0.128137,0.103229,0.0587647,0.109204,0.0181992,0.0522358,0.0648769,0.0591049,0.0324154,0.0001091,0.193539,0.0815117,0.0522766,0.114771,0.0773388,0.021405,0.0583164,0.0689339,0.115538,0.141299,0.137138,0.0305626,0.0506088,0.135133,0.359932,0.160515,0.0355244,0.0104385,0.129087,0.0357204,0.0567287,1,0.175046,0.0539776,0.108539,0.12422,0.137448,0.0104115,0.117157,0.0498779,0.20488,0.0249138,0.00523491,0.0495132,0.0313919,0.182973,0.0846451,0.232589,0.0198921,0.0979591,0.103533,0.037553,0.0595791,0.0673344,0.0669884,0.0753407,0.233136,0.123611,0.0355423,0.0936638,0.150175,0.0364735,0.19879,0.0542,0.0500534,0.0377155,0.0871578,0.110795,0.144358
60,0.282735,0.0571911,0.0957718,0.0655037,0.015274,0.185497,0.171276,0.186757,0.00116043,0.0945919,0.0553452,0.262959,0.0784748,0.0528675,0.64084,0.038018,0.065778,0.0276291,0.0269482,0.138137,0.0745941,0.0543217,0.155613,0.140541,0.0191765,0.0920101,0.0460522,0.263112,0.0672134,0.0541103,0.107867,0.14756,0.140991,0.0188252,0.0889713,0.0571178,0.0389,0.141869,0.0354652,0.189162,0.0616783,0.0900177,0.370396,0.0540211,0.0940372,0.0658375,0.00418777,0.0680389,0.124306,0.0517063,0.0211899,0.00667343,0.139457,0.00412445,0.0176392,0.0518246,0.047731,0.199319,0.0646057,0.0486603,0.150607,0.37258,0.0103973,0.0539593,0.203049,0.012009,0.306834,0.0171471,0.0480644,0.100982,0.0248833,0.110163,0.0627914,0,0.155094,0.00456314,0.0291695,0.0360683,0.144373,0.166135,0.166609,0.0873379,0.105386,0.0927662,0.0824043,0.00266418,0.166934,0.133194,0.0411774,0.109407,0.0877094,0.136479,0.225031,0.384922,0.0371117,0.121028,0.0044754,0.0811245,0.0170029,0.0298374,0.101831,0.0996502
70,0.0878021,0.0346062,0.119904,0.0822327,0.0906021,0.105429,0.0973541,0.0531799,0.00351715,0.0870049,0.0642532,0.0342827,0.0775398,0.121042,0.194865,0.224612,0.0488449,0.200608,0.15911,0.166744,0.0524216,0.0617958,0.628989,0.1767,0.186892,0.123943,0.00471039,0.063324,0.21945,0.266371,0.0383858,0.0893616,0.0509476,0.175462,0.0267197,0.0526123,0.385048,0.069857,0.220811,0.0208496,0.211882,0.0120941,0.124915,0.0444183,0.0420631,0.114549,0.0583015,0.038446,0.232214,0.147432,0.0207573,0.0292358,1,0.0373497,0.0324623,0.0825859,0.178627,0.0764282,0.058223,0.0588089,0.0589783,0.118791,0.0569504,0.0542557,0.00452805,0.13816,0.226477,0.265658,0.0653465,0.0661522,0.262896,0.0426353,0.102945,0.00556488,0.0865372,0.0122139,0.0653564,0.139618,0.00373611,0.0463669,0.181257,0.187008,0.038411,0.0608223,0.0322533,0.140663,0.0177681,0.074614,0.0671249,0.0303505,0.153238,0.0611763,0.13326,0,0.00903549,0.186129,0.0503639,0.0471733,0.192583,0.121041,0.111764,0.128269
80,0.105592,0.208067,0.0628952,0.0295212,0.0474297,0.150019,0.199998,0.0514854,0.151363,0.229069,0.0145271,0.00184631,0.0400635,0.0587364,0.0625816,0.174104,0.105542,0.117812,0.155048,0.011412,0.0891998,0.270618,0.295934,0.103888,0.0180763,0.198988,0.0608177,0.195341,0.0354065,0.164975,0.0882423,0.0495979,0.0546829,0.173842,0.157148,0.102026,0.0275612,0.115044,0.17382,0.207037,0.016375,0.0414131,0.202374,0.111782,0.0191498,0.156137,0.0462303,0.226451,0.0865692,0.0456978,0.0951347,0.380047,1,0.0712135,0.0403038,0.150185,0.0595291,0.0788956,0.0882835,0.209151,0.0306808,0.337919,0.17349,0.245105,0.254419,0.134067,0.0477997,0.142037,0.0901039,0.0661789,0.0632957,0.132572,0.0749763,0.042305,0.143076,0.0354668,0.00353012,0.0151611,0.0188553,0.00826797,0.046862,0.220612,0.0459404,0.0480881,0,0.216232,0.0500893,0.233803,0.0640053,0.0687202,0.10948,0.0372734,0.213361,0.11873,0.0180061,0.100119,0.0503494,0.230664,0.0487617,0.311575,0.119763,0.12227
90,0.081778,0.0964752,0.218006,0.0756088,0.0765083,0.043219,0.0550896,0.0784737,0.105294,0.0262901,0,0.198679,0.12784,0.139152,0.0125969,0.0952911,0.0891815,0.0465897,0.260591,0.0145493,0.101202,0.0745789,0.135925,0.068132,0.012648,0.0663589,0.105135,0.0154366,0.268034,0.0373627,0.00814743,0.0196342,0.115872,0.0704346,0.225077,0.00528183,0.0369209,0.0701347,0.0495987,0.139074,0.0311096,0.134716,0.0540909,0.140767,0.104504,0.0529732,0.0131546,0.0423256,0.282295,0.0700676,0.096199,0.059977,0.262052,0.0804176,0.222943,0.0944473,0.0810615,0.0230736,0.056369,0.335388,0.0820557,0.0332016,0.0425377,0.058461,0.0510986,0.178409,0.155153,0.148362,0.0208115,0.0261887,0.0680168,0.040081,0.000771332,0.0488457,0.353783,0.161956,0.294559,0.0957329,0.0806908,0.0539474,0.0861183,0.0177956,0.0484215,0.0180916,0.272731,0.202065,0.0766685,0.0908348,0.00532379,0.07528,0.0467087,0.204465,0.238552,0.0715736,0.0255089,0.0947052,0.0455215,0.100809,0.112891,0.941487,0.104743,0.116044
100,0.101527,0.137598,0.105396,0.106765,0.0354408,0.0114456,0.0688538,0.107024,0.0986107,0.0434578,0.236966,0.130078,0.0730484,0.0311066,0.018782,0.0209282,0.0730522,0.0937775,0.0279922,0.0671486,0.0477104,0.0323723,0.14567,0.0995659,0.112045,0.078846,0.169537,0.147399,0.0656982,0.036142,0.187703,0.0364922,0.112875,0.0923737,0.0607986,0.0755882,0.0408234,0.188175,0.0190491,0.146352,0.255384,0.0986443,0.234447,0.0741913,0.0146271,0.106008,0.0938789,0.072467,0.056926,0.024778,0.0433235,0.0260292,0.061293,0.136823,0.0135086,0.0631653,0.301788,0.0550049,0.0462936,0.834491,0.257104,0.396751,0.115432,0.13623,0.127734,0.0337181,0.0506561,0.111077,0.0926445,0.0800865,0.146854,0.30099,0.0211098,0.0550468,0,0.0473419,0.126562,0.0894173,0.0334274,0.218047,0.230867,0.0794197,0.181615,0.1105,0.0374023,0.0158241,0.0626289,0.0287148,0,0.0798073,0.0668938,0.0384613,0.0305389,0.335075,0.0269615,0.0642074,0.247958,0.0822983,0.0659012,0.180793,0.105034,0.107287
110,0.0201492,0.0561791,0.0776497,0.0465416,0.0353554,0.0498001,0.0158775,0.26245,0.0485825,0.0375717,0.259693,0.0154823,0.0419792,0.162238,0.312814,0.0518272,0.0935814,0.045993,0.0256363,0.0259995,0.120133,0.0458458,0.0290604,0.0823494,0.0603188,0.105167,0.169801,0.0153305,0.0596641,0.00616074,0.0472237,0.106812,0.000457764,0.0184395,0.153239,0.0698692,0.0298286,0.119321,0.20049,0.0465302,0.144967,0.0905151,0.0644699,0.157251,0.0759811,0.0970848,0.152289,0.0212318,0.0441742,0.00449142,0.156399,0.115913,0.675546,0.0525505,0.017099,0.00651093,0.0401848,0.04543,0.102293,0.135236,0.00415039,0.195137,0.170753,0.00114746,0.0072998,0.0420258,0.0384567,0.0436707,0.0710022,0.0546173,0.0523178,0.0230553,0.293001,0.155891,0.0723122,0.0893715,0.141694,0.0879234,0.102819,0.0186874,0.0590019,0,0.134299,0.0455925,0.177222,0.0630676,0.122405,0,0.307468,0.0534576,0.0261185,0.0782784,0.162344,0.161043,0.0120552,0.0629662,0.479384,0.0587616,0.0615074,0.0903992,0.0919176,0.0993766
120,0.0750801,0.00102768,0.0340721,0.213313,0.00712891,0.00617142,0.20912,0.0885605,0.0570519,0.212302,0.0477325,0.0507172,0.0333458,0.10265,0.363388,0.0993408,0.179505,0.195258,0.102369,0.0705666,0.151948,0.0647179,0.19819,0.0828819,0.140514,0.0989983,0.088826,0.0924217,0.0393936,0.260179,0.113224,0.0743278,0.0334091,0.0168686,0.0479103,0.145026,0.0192245,0.183972,0.0206177,0.0538246,0.056282,0.0608574,0.0295357,0.359348,0.0352821,0.159463,0.164013,0.0863647,0.139715,0.167361,0.0469681,0.0540443,1,0.0249504,0.113139,0.16868,0.0598129,0.0388237,0.266494,0.033873,0.114149,0.0633591,0.0557869,0.0731049,0.0724831,0.0548958,0.0549706,0.128908,0.0433228,0.113873,0.0390297,0.00311661,0.330608,0.181505,0.0624519,0.014344,0.211247,0.0101349,0.0945038,0.168784,0.0631737,0.0294701,0.0587784,0.0585281,0.0443985,0.0444717,0.0150429,0.111993,0.0746719,0.105889,0.0933289,0.489848,0.0173149,0.174575,0.0286613,0.11412,0.0688477,0.014389,0.046862,0.0147507,0.106999,0.12451
130,0.163412,0.132936,0.0398087,0.0309753,0.172987,0.0739975,0.0940521,0.0348251,0.0153488,0.0473572,0.107739,0.117393,0.0592972,0.0358902,0.155182,0.0609238,0.0581268,0.0391815,0.264357,0.083403,0.153224,0.183676,0.0663178,0.0219284,0.0282913,0.0715408,0.0499146,0.16871,0.0413712,0.021109,0.0945206,0.00039978,0.0236862,0.104144,0.0543274,0.0192642,0.064032,0.0455444,0.0303299,0.0712204,0.0337601,0.0937546,0.043161,0.053569,0.073381,0.235957,0.0397995,0.134219,0.0195297,0.0932083,0.0767548,0.147624,0.204626,0.126965,0.112383,0.114444,0.114633,0.0565079,0.0129272,0.0606522,0.0250854,0.260661,0.028923,0.0941361,0.0340851,0.0583618,0.0274277,0.131276,0.0366623,0.276855,0.245213,0.321553,0.0554337,0.00779266,0.17047,0.0333344,0.284889,0.0486511,0.101787,0.118394,0.145523,0.0477005,0.0596451,0.0800262,0.262148,0.230322,0.0234146,0.00256042,0.18828,0.0904999,0.0919251,0.115158,0.0233337,0,0.509665,0.0877487,0.368938,0.020105,0.172343,0.0305374,0.0985947,0.0884911
140,0.0594788,0.384026,0.23844,0.144078,0.00849609,0.12155,0.0939484,0.144983,0.0313736,0.177383,0.0963196,0.0574936,0.0211121,0.0051712,0.192854,0.0379608,0.195282,0.057904,0.0449112,0.0181778,0,0.139821,0.187039,0.0666809,0.20827,0.136305,0.0830704,0.115247,0.182428,0.0383102,0.0430939,0.0699661,0.0203201,0.0321503,0.0648224,0.14657,0.159586,0.0518906,0.0477371,0.0783157,0.0550217,0.0590866,0.00437317,0.287122,0.0413666,0.0653351,0.0825638,0.165717,0.013913,0.035965,0.0423843,0.0166992,0.0141479,0.159557,0.367575,0.0684387,0.0958145,0.169029,0.156851,0.0546738,0.237439,0.152473,0.0223801,0.0807327,0.177635,0.0392792,0.0706512,0.0465591,0.0187378,0.0279968,0.0467728,0.0323639,0.0314575,0.0175598,0.0435623,0.0104218,0.0935898,0.092894,0.0929901,0.0397552,0.131442,0.329468,0.0809891,0.166548,0.04422,0.0628815,0.0415573,0.273921,0.0730057,0.0474045,0.0164307,0.424026,0.0395843,0.0208313,0.0682861,0.0816971,0.546265,0.0365524,0.0166489,0.0187119,0.0985392,0.0977807
150,0.0491669,0.602782,0.478026,0.0352905,0.0434036,0.202676,0.135274,0.0337677,0.0973435,0.0599716,0.117529,0.178008,0.0115601,0.204166,0.0962082,0.10864,0.964842,0.00954895,0.287952,0.00247345,0.236148,0.0234619,0.098822,0.0833923,0.157831,0.0635773,0.00654297,0.029892,0.0469788,0.162633,0.0983688,0.0527863,0.0248215,0.0962814,0.103253,0.227419,0.173083,0.0996796,0.19798,0.102577,0.136778,0.0448334,0.0746399,0.0947433,0.139876,0.170039,0.0821289,0.172647,0.127008,0.0752045,0,0.174875,0.195502,0.0756409,0.0403626,0.00778351,0.0919861,0.0458542,0.1217,0.0116409,0.0666443,0.0565887,0.129271,0.440114,0.0129028,0.259326,0.126889,0.121123,0.0122406,0.101773,0.00601196,0.028688,0.0569397,0.0766403,0.211108,0.169299,0.431424,0.165709,0.0502945,0.0257172,0.0883011,0.0189392,0.219829,0.0497681,0.050647,0.119293,0.04543,0.0670425,0.0241486,0.170467,0.224066,0.420483,0.074852,0.0489044,0.0467896,0.0204468,0.119901,0.0223251,0.0383423,0.0625381,0.121686,0.137026
160,0.123575,0.362068,0.155374,0.0504471,0.0674225,0.108002,0.104855,0.274463,0.0823807,0.0692963,0.104588,0.0546371,0.0501419,0.0587982,0.123456,0.235011,0.206422,0.276009,0.105035,0.0988464,0.0257889,0.187682,0.0262817,0.0531876,0.0823456,0.0810211,0.0257919,0.0285645,0.115509,0.0429642,0.131734,0.124643,0.272653,0.0524735,0.0218475,0.138104,0.0427628,0.0488739,0.00662689,0.0863098,0.138411,0.119092,0.129533,0.00986938,0.104639,0.170799,0.0533188,0.120866,0.166782,0.0703918,0.0318542,0.00915527,0.00469208,0.0466156,0.0061615,0.0608871,0.0514908,0.0596924,0.0548004,0.0575714,0.057222,0.158571,0.0481247,0.0700134,0.0755234,0.102472,0.0719772,0.062973,0.0923859,0.169031,0.0448456,0.203314,0.0595749,0.0335419,0.0244614,0.0218262,0.118515,0.0360229,0.296324,0.0298416,0.0132828,0.100757,0.256378,0.00782623,0.0975616,0.047345,0.0953796,0.0705582,0.131979,0.134665,0.027919,0.00482483,0.0597061,0.188812,0.0681732,0.055658,0.101715,0.0153107,0.337686,0.0375137,0.0940223,0.0756412
